experiment_id,model,loss,accuracy,precision,recall,f1,auc
exp01_densenet121_weighted_ce,DenseNet-121,Weighted CE,90.81431389123696,90.3402714175558,90.27376094530982,90.30662291823667,98.30234967431058
exp02_densenet121_focal,DenseNet-121,Focal Loss,91.40602986756832,91.03410368472247,90.81544931560626,90.8666429259339,98.40142883203133
exp03_efficientnet_b0_weighted_ce,EfficientNet-B0,Weighted CE,90.47619047619048,90.07395504067324,89.76503233202197,89.91520129195607,98.20472765970348
exp04_efficientnet_b0_focal,EfficientNet-B0,Focal Loss,90.41983657368273,90.16497936402828,89.79208286173623,89.92115711026531,98.28822693468581
exp05_lenet_weighted_ce,LeNet,Weighted CE,87.09495632572556,86.69071572866127,87.2788505344041,86.82783513778361,97.40667603083726
exp06_lenet_focal,LeNet,Focal Loss,86.47506339814032,86.30779322618227,84.90363729044776,85.50044556495739,97.08107842357411
exp07_mlp_weighted_ce,MLP,Weighted CE,61.45393068469992,55.833980555785054,57.63295342965342,55.474230925420166,84.76683645349787
exp08_mlp_focal,MLP,Focal Loss,59.98872921949845,53.09409430741903,56.39124047303834,53.75833278055724,82.59782490759548
